Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863448.7708597,2069870129.8701298,1272835453.426344,1201312829.2752385,1315158636.6755345,1468317435.2014842,1596968946.2370784,1639492444.7615163,1893726437.2646184,1845482173.0273242,1911563668.8500648,2118467913.378734,2376335048.399756,2807061008.6908445,3576615240.4161587,4900469511.1019125,6384452066.514603,9206301269.791636,11662040713.875309,8647937081.256197,9260285755.624237,10142111824.583546,10619320682.947443,11121464437.04153,11609513246.795767,10553337518.414,10546136235.521862,11527458709.015797,12457940694.73953,13619290539.211607,12641698583.215239,13878908628.937809,19513506553.125072,24085749592.335915,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496296.2962963,88033333.33333333,109585185.18518518,132440740.74074073,149377777.77777776,166425925.9259259,184848148.14814815,212192592.59259257,246344444.44444442,297537037.037037,346840740.7407407,411374074.07407403,455148148.1481481,478692592.59259254,504307407.4074074,525103703.70370364,565633333.3333333,625051851.8518518,616014814.8148148,679111111.111111,734392592.5925926,789762962.962963,835514814.8148148,900551851.8518518,877514814.8148148,897988888.8888888,947955555.5555555,1026181481.4814814,1143714814.8148148,1303548148.148148,1487300000.0,1557540740.7407405,1386444444.4444444,1298255555.5555556,1281337037.037037,1327107407.4074073,1325425925.9259257,1378829629.6296296,1437755555.5555553,1489692592.5925925,1531151851.8518515,1661529629.6296296,1725351851.8518517,1410796296.2962961,1601366666.6666665,1867733333.3333333,2033085185.185185,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18607682977.229275,19684003149.440502,19923683187.78931,21540963446.55415,23801123808.17981,25977284156.365463,27308964369.4343,30442724870.83598,32714085234.253635,36684485869.51774,41334726613.55626,45217767234.84276,52042056074.76636,63833440102.4984,88965364775.2395,97304383449.40599,105060616984.85648,110352144987.38243,118492761338.46439,134900602067.477,149987743732.59055,176895390688.49414,194041708043.69415,177267290706.22787,193525337525.76498,180643265927.27878,182481113598.2093,189495764955.00262,236161314544.1528,299875906679.21716,311426665219.9709,325975319455.5305,325525379566.83777,312133923552.5576,322806641300.588,368166023166.0232,401341880620.7279,435642611296.5858,399674421759.47906,389652212056.6487,416167815092.9082,379629301675.1082,395788696012.0592,467739079790.332,614659980082.5154,695692898676.5597,748417562769.6357,855007458585.2241,1056112427190.3767,928762122698.0496,1148838233480.7195,1398610616772.9673,1547532281116.3977,1577123329410.8835,1468265356427.763,1351296372254.314,1206836962281.8408,1325582658156.5354,1427809041019.4402,1392723834562.644,1328414058378.3755,1556735770437.2593,1690858246994.434,1728057316695.6077,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6624086313.143343,7346566037.833918,7793042529.159923,8414050621.0171585,9213648655.97511,10041659445.11802,10939526218.63931,11634569521.927347,12499863917.100342,13647475854.028723,15312791743.84758,17788536733.120388,21973207929.043396,29399860144.774754,35051468639.57597,39902300703.168205,42791707448.03252,51343861460.32803,61809208755.80404,73647694287.18477,81737498404.59476,70755997062.3812,70996111962.5716,71838528420.40755,67719055773.33058,69114996009.57701,98648254168.5444,123682091858.94646,132817124707.4557,132584448257.93031,165811372382.91177,173113449616.97113,194314032056.09818,189634029338.69632,202738023129.7434,240094169510.03137,235952581232.12894,211724812267.44843,217068085815.91818,216421809125.91553,196181599831.28668,196477206829.33017,212837224022.81332,260779834340.0967,299210411454.8228,313952317330.7765,333905979332.4807,386760177589.4965,429234399096.17255,399290118782.42865,389827789217.6341,428954737064.05725,406750487603.5899,426580502769.4165,438556021078.0341,379546097300.6326,393687359770.2733,414926138132.6913,452582294972.7754,442983642371.8424,434397601557.69617,480467037338.78296,471773629830.3812,511685203845.0012,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848484.848484,5344000000.0,444658671.5867158,1570392598.1495376,1193141110.3504274,2417331192.9526043,3176507376.3183618,3962362387.479221,4446368570.690101,4581248566.501584,5272615722.968918,5707616203.720108,6236087738.282841,7276413079.114511,8680405740.941248,13245421880.834042,20981929497.618767,33049419431.224392,48851293785.44826,44292427184.94917,52909294791.92624,65952796427.94731,69679944504.19719,74160560123.69016,75239785452.10219,53076235354.74602,37866996882.915695,40866627351.98167,47112470051.77007,48174235294.117645,42693000000.0,54825411764.70589,78807470588.2353,72356176470.58824,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999989.80792,202999991.80106,213500005.79077,232749997.771905,260750007.744465,158994962.81221217,165444571.26407224,178297142.67986456,183199999.81784686,190205714.09659547,242732571.18722588,252842285.4831156,246804571.42857143,304339522.63607526,345263492.06349206,420986666.6666666,448412753.6231884,547535555.5555556,610225555.5555556,782496666.6666666,919726666.6666666,969046666.6666666,1013222222.2222222,1082926304.464766,987143931.166987,1149979285.7734692,1201725497.065779,1131466494.0110068,1082403219.4878733,1113924130.4114907,1132101252.5181746,1167398478.3459036,1083037670.60484,938632612.0263591,925030590.153683,1000428393.885281,869033856.3170933,972896267.915425,893770740.2074156,808077223.3657464,870486065.8831366,876794723.0685855,825394519.4237278,784654423.6204764,915257323.3960996,1117113079.736455,1273375078.4484448,1356199387.4230778,1611835857.0458813,1781455139.8593144,2032135192.0124843,2235820809.3200555,2333341334.457535,2451606632.292456,2705783329.804834,3104003546.264973,2644487776.500767,2723586962.8403373,2667182199.51333,2576518879.823531,2649680261.442985,2775798697.4602237,3338722827.656905,2642161668.8521075,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11810619368.387356,12561701694.331919,13436827166.51867,14445805381.387213,16168044450.25225,17597783297.458344,18894891312.297703,20252508995.474495,21654856965.428123,24019653474.99587,26706196046.79306,29821661869.912014,37209418018.51343,47743801490.374664,56033077879.03894,65678189097.29078,71113882967.60712,82839905458.63815,101246526194.44089,116315456796.918,126829314388.19148,104730018470.23033,92095926187.53311,87184239053.25444,83349530159.17342,86268264148.37964,120018787249.41304,149394404105.8887,162299103675.26056,164221056511.05652,205331747947.8513,210510999409.33255,234781652446.67502,224721795708.95523,244884129491.19846,288025588396.2781,279201433224.75574,252708051420.83896,258528339631.0291,258245733221.46774,236792460312.4711,236746141604.3704,258383599375.17697,318082528506.5876,369214712443.20557,385714762230.03876,408259840868.82294,470922156309.4525,517328087920.078,485014525992.46063,481556503720.0009,527196649048.63916,498414364944.96106,524097026598.5505,537987419164.3511,461044767544.531,474271566739.72876,500908767351.5303,542638913427.9212,536726344405.4893,529694473501.7913,598494036474.4089,593438820508.1735,644782756682.7565,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.43449736,235668220.50820154,236434954.038578,253927697.25804955,269819005.8781397,289908680.4263955,302925235.1519967,306221953.10491055,326323105.2647596,330748244.5395739,333627713.49443835,335073027.54117006,410331856.99121785,504376074.1857087,554654860.7025769,676870140.3415287,698408261.9222374,750049778.8406903,928843469.4317267,1186231019.8204372,1405251846.5404758,1291120188.431039,1267778670.359021,1095348199.4391124,1051134008.7897869,1045712789.1488353,1336102025.2776284,1562412227.9005773,1620246083.7947803,1502294416.1712859,1959965330.1476502,1986437796.5305347,1695315305.7030787,2274558082.7613525,1598075943.867737,2169627137.920696,2361116449.393076,2268301646.4670687,2455092686.347117,3677393998.7448587,3519991440.4791317,3666222635.138748,4194342686.2178025,5349258094.482386,6190270380.498556,6567654954.38903,7034111314.888124,8169048382.838754,9787734526.23965,9738626517.003195,9535345011.48797,10693321370.03598,11141358105.985321,12517845127.677475,13284527850.263166,11388160997.108948,11821065852.12709,12701655845.961237,14262408079.701374,14391686309.032972,15651545208.878334,17690083519.932343,17401746309.265457,19676049075.70109,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.8211856,350247234.26071155,379567099.24942166,394040667.1063353,410321644.96491134,422916789.7482999,433889766.239436,450753923.5480476,460442689.3763777,478298645.39382035,458404268.76197135,482411179.1211782,578595521.9901348,674773569.8775476,751133430.4493006,939972703.4630206,976547188.0547776,1131224878.1886473,1475583644.9361432,1748480620.5239744,1928719888.2068832,1775842333.5704167,1754450096.2372131,1600278605.2546546,1459880132.1410668,1552493196.2842438,2036303357.6811328,2369834949.732339,2616040478.9930944,2615587733.973027,3101300778.564138,3135045584.08387,3356692505.1826596,3199536465.233282,1895290637.0950437,2379517975.2805634,2586550595.4101324,2447669101.9517813,2804902367.146874,3389566712.6603723,2968370087.597594,3190371080.947684,3622350062.9605265,4740768142.674943,5451688537.6095915,6146353173.349286,6547419820.381131,7625722836.768471,9451435490.114674,9450696873.343262,10109619740.699419,12080295977.563232,12561015156.568285,13444300485.841228,13943016076.743608,11832159315.62978,12833363045.336655,14106955615.344177,15890066221.288244,16032813503.37069,17725010532.52676,19697516284.378677,18820218690.594765,20324617844.526535,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274894083.3333335,4817580375.0,5081413541.666667,5319458562.5,5386054833.333334,5906636791.666667,6439687854.166667,7253575687.5,7483685770.833334,8471006437.5,8992722166.666668,8751843187.5,6288245866.666667,8086725729.340702,12512460519.708761,19448348073.456512,10117113333.333334,9651149301.874596,13281767142.857143,15565480321.944809,18138049095.607235,20249694002.44798,18525399201.596806,17609048821.54882,18920840000.0,22278423076.923077,21774033333.333332,24298032258.064518,26579005558.365208,28781715188.891914,31598340778.216366,30957483949.57983,31708874594.164455,33166519417.98942,33768660882.793015,37939748768.656715,46438484107.57946,48244309133.489456,49984559471.36564,51270569883.52746,53369787318.62453,53991289844.32913,54724081490.510185,60158929188.255615,65108544250.04247,69476001239.419,71795736172.15605,79611644974.55707,91636997370.97716,102475158190.99796,115275540051.26195,128607482310.35696,133310747603.48254,149998957434.18637,172886611653.7858,195146608978.1311,265224515675.03375,293732446624.5958,321362752441.78033,351231654603.69226,373979442362.1933,416271647911.01416,460131688909.3012,437415331040.9943,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.23077,19870000000.0,19342000000.0,16563666666.666668,17594944444.444447,17155421052.631578,20249294117.64706,28101000000.0,22555941176.47059,21988444444.444447,20632090909.090908,10943548387.096775,10350515463.917526,10832064941.653982,9697416974.169743,18991484420.359978,12294964837.623463,11316127378.96127,15031055046.757534,13627325461.174295,13245990274.45809,14183446025.738909,16403043849.82968,21144957990.468067,26157743368.871613,29868657858.008186,34380536495.67393,44432811756.47305,54480684188.44424,52023801230.120026,50760929302.51474,57737040780.015656,54288135058.79262,55852123989.95043,57157782909.93072,50811995688.67711,53964253211.83995,59309748166.11794,66289266348.650444,68631726289.27937,70716821234.59674,84417951260.8091,90642851835.89964,102407653020.6062,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,391577364.0773641,422181562.18670756,534081183.68072814,761132545.1042215,1042176883.5182652,1099107600.505689,1581709518.9826062,1989060283.042709,2272042965.2112646,2710160739.187418,3493834468.0286546,3943109531.9148936,4145421079.787234,4247030468.0851064,4440874566.489362,4152376484.042553,3470746843.0851064,3856922694.1489363,4209834172.87234,4393093962.765958,4809511005.319149,5248911170.212766,5402232446.808511,5913001063.829787,6330627925.531915,6651180851.063829,6938166755.319149,7219407712.765958,7031309042.553191,7528469148.936171,9062898936.170212,8976196808.51064,9593510638.297873,11074813829.787233,13150159574.468084,15968723404.25532,18504760638.29787,21730000000.0,25710904255.31915,22938218085.106384,26805984042.553192,29914680851.06383,31963404255.31915,33823324468.085106,34772526595.74468,32523297872.340424,33884680851.06383,37204813829.78723,39567978723.40426,40446808510.6383,35837632978.723404,40840212765.95744,46680398936.17021,46079867021.276596,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169735993.8895042,190021993.15920824,212169992.36188024,237649991.44460028,266559990.40384033,300271989.1902084,346800000.0,398000000.0,453800000.0,538700000.0,539500000.0,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10395800000.0,10974100000.0,11671900000.0,11745100000.0,12236700000.0,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,14338500000.0,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753478260.869566,6122959183.67347,4735044707.239689,3630668949.8324594,1255802469.1358023,1866572953.7366548,2786045321.637427,3671909673.044008,4116774300.606705,4686256363.047072,5567772768.811885,5800615466.266482,6728220886.645462,8498894359.386289,10156541538.39903,11222796336.542631,12864841905.954311,15778734264.37873,19112796623.117504,17613949091.229362,17176315803.729837,18644233537.109337,17226735995.690475,18179108530.526096,18558733564.4692,16404348871.443703,17116926327.624695,18326373366.110527,20484053868.92458,20482608755.378956,20226036564.412888,23672712242.214893,24534663636.17784,27514782476.040558,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17389558232.931725,18404907975.46012,16939790093.905357,16275073526.981924,14931435232.077957,13972683273.56917,14756846153.846155,14130585516.178738,15221352698.894428,12138243080.625751,12736780455.15395,12354820143.884892,14594900944.765818,17825444724.487755,23141566292.94622,30210091836.82945,36961894281.34442,45275711995.82495,60752106347.12601,50873167326.04142,57231904542.87547,61762382327.93193,65685890438.89215,75527558966.44727,78812805039.07434,56454889146.60878,47723545321.25899,54725302249.808784,60031173807.719635,64410122847.3508,61371755326.2351,69673747131.86996,73775179924.60303,71857382745.6066,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072478.072478075,29964999.964999966,31857591.85759186,33750113.750113755,36194586.194586195,40110040.11004011,44450044.45004445,47431255.747674,44999910.00018,47399905.2001896,53339893.320213355,59074687.19618515,65998069.38476313,78214767.83014962,103160450.4458694,118194026.25157352,97094227.22924706,117650000.0,136300000.0,151800000.0,257399999.99999997,260750000.0,248550000.0,262149999.99999997,290350000.0,287300000.0,311500000.0,371100000.0,421450000.0,491100000.0,547150000.0,597100000.0,696250000.0,752850000.0,772300000.0,819050000.0,850850000.0,873400000.0,929500000.0,1000250000.0,1138900000.0,1172800000.0,1244650000.0,1308900000.0,1400850000.0,1474950000.0,1591150000.0,1707100000.0,1738900000.0,1688500000.0,1745700000.0,1827050000.0,1909400000.0,2032750000.0,2138250000.0,2193050000.0,2240200000.0,2266300000.0,2293250000.0,2388300000.0,2042850000.0,2420550000.0,2846700000.0,3066850000.0,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,72400000.0,76500000.0,80700000.0,82600000.0,92200000.0,98000000.0,115000000.0,134800000.0,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.00000006,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500031.9999999,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186524999.9999995,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7286607000.0,7827980000.0,8141700000.0,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373250000.0,406000000.0,443916666.6666666,478000000.0,538583333.3333334,598333333.3333334,662500000.0,748250000.0,849333333.3333333,920333333.3333333,1006833333.3333333,1084666666.6666667,1286153846.1538463,1263600000.0,2101299999.9999998,2405900000.0,2733350000.0,3229049999.9999995,3760099999.9999995,4510500000.0,4450360000.0,5778480000.0,5600390625.0,5414008620.689655,6169304528.061225,5377276656.765804,3959383519.827176,4347956337.932209,4597611710.198354,4715973437.436727,4867582597.51312,5343262457.102258,5643868748.681265,5734699488.849339,5981222858.82727,6715161732.22658,7396949126.356853,7925736821.4503355,8497494652.125457,8285064434.568255,8397855484.769085,8141516928.394893,7905485146.443515,8082399639.543047,8773451751.512096,9549122905.328524,11451844902.221363,13120108008.347721,16674276285.895582,17339992193.732193,19649723722.103386,23963164696.591965,27084497481.910275,30659338885.672935,32996188012.559914,33000198248.12923,33941126200.06064,37508642165.33661,40287647930.47611,40895322843.785095,36629843805.02156,40406111695.179016,44008282877.96064,45135398008.816635,
